isolation_forest,one_class_svm,local_outlier_factor,gaussian_mixture,machine_type,machine_id
0.8653635633833653,0.8655095239253655,0.8122947429878122,0.8944340379983945,fan,id_00
0.703198540005763,0.7549844258133567,0.7650973558187082,0.6901903206773057,fan,id_02
0.7927980454217336,0.8473263368315841,0.7438502970736853,0.7724193458826143,fan,id_04
0.9965203389599225,0.990065908873818,0.9593357258845844,0.9990993818484506,fan,id_06
0.7996381727725012,0.8332811467139826,0.8313328462582195,0.7984900671467836,pump,id_00
0.6016314822284972,0.5452243288064182,0.4980951100354085,0.5409439290036305,pump,id_02
0.6230714285714285,0.7453214285714286,0.64275,0.5978571428571428,pump,id_04
0.8372643743487733,0.9612816140949134,0.9649521644406556,0.7540968078052477,pump,id_06
0.8680956631313661,0.8830069305891,0.7860705659981099,0.914417725506668,slider,id_00
0.6246630963631908,0.8486208827750358,0.7094840561447723,0.7443382687528441,slider,id_02
0.5998634883965137,0.6405544471280059,0.6964191956316286,0.5899926493751968,slider,id_04
0.5260947180510344,0.9111624488081489,0.9258636984143652,0.34358920508243196,slider,id_06
0.42594007299889647,0.41815210932857994,0.48968678380443087,0.43604108309990663,valve,id_00
0.729049295774648,0.6345950704225352,0.5525821596244131,0.7910211267605634,valve,id_02
0.6727083333333335,0.7014583333333333,0.6052500000000001,0.6947083333333333,valve,id_04
0.5268939393939395,0.5141414141414141,0.5246632996632996,0.5284090909090909,valve,id_06
